ano,id_municipio_6,nome_municipio,grupo_renda,tae_creche_capped,tel_creche_capped,tae_pre_capped,tel_pre_capped,Total_mulheres,log_emp_mulher,Total_emp,Total_mulheres_negras,rem_med_mulheres_negras,pib_per_capita
2007,230010,Abaiara,Menor Dinamismo Econômico,68.25095057034221,46.958174904942965,100.0,73.44262295081967,510,6.236369590203704,702,4,840.239475,2481.9595189205047
2008,230010,Abaiara,Menor Dinamismo Econômico,56.59340659340659,31.13553113553113,100.0,48.046875,506,6.2285110035911835,661,4,863.7006,2859.713890170743
2009,230010,Abaiara,Menor Dinamismo Econômico,63.469387755102034,39.38775510204081,82.29508196721311,51.80327868852459,495,6.206575926724928,657,4,881.7203999999999,3137.7629322018597
2010,230010,Abaiara,Menor Dinamismo Econômico,50.0,34.701492537313435,85.3146853146853,65.38461538461539,482,6.180016653652572,648,5,871.9979999999999,3481.612042682927
2011,230010,Abaiara,Menor Dinamismo Econômico,58.333333333333336,43.43971631205674,100.0,58.82352941176471,480,6.175867270105761,641,9,859.5976777777778,4779.789829236254
2012,230010,Abaiara,Menor Dinamismo Econômico,60.30927835051546,39.51890034364261,76.15384615384615,49.61538461538461,474,6.163314804034641,640,11,891.9556363636364,3983.2639852057328
2013,230010,Abaiara,Menor Dinamismo Econômico,64.13427561837456,43.1095406360424,96.28252788104088,68.40148698884758,472,6.159095388491933,629,9,1251.078888888889,4551.176841915411
2014,230010,Abaiara,Menor Dinamismo Econômico,64.27289048473968,44.34470377019748,98.55072463768116,60.14492753623188,512,6.240275845170769,738,24,1211.68025,5765.009798681632
2015,230010,Abaiara,Menor Dinamismo Econômico,68.25688073394495,47.70642201834863,99.32203389830508,61.35593220338983,488,6.192362489474872,671,11,1439.0432,5814.65175662587
2016,230010,Abaiara,Menor Dinamismo Econômico,74.50980392156863,51.9607843137255,94.11764705882352,59.47712418300654,531,6.2766434893416445,815,33,1156.048666666667,6415.745014369068
2017,230010,Abaiara,Menor Dinamismo Econômico,70.55449330783938,52.96367112810707,100.0,74.53874538745387,393,5.976350909297934,958,28,1205.069785714286,8009.564842740198
2018,230010,Abaiara,Menor Dinamismo Econômico,62.91512915129152,45.5719557195572,100.0,67.33067729083665,372,5.921578419643816,784,14,1334.5935,7539.483837777587
2019,230010,Abaiara,Menor Dinamismo Econômico,59.38069216757741,41.16575591985428,96.35036496350364,60.21897810218978,354,5.872117789475416,747,16,1238.175,8048.053165204055
